1. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
2. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
3. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
4. "설악산 코스 알려줘" 인공지능에게 물었더니...
5. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
6. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
7. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
8. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
9. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
10. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
11. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
12. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
13. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
14. "설악산 코스 알려줘" 인공지능에게 물었더니...
15. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
16. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
17. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
18. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
19. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
20. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
21. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
22. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
23. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
24. "설악산 코스 알려줘" 인공지능에게 물었더니...
25. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
26. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
27. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
28. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
29. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
30. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
31. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
32. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
33. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
34. "설악산 코스 알려줘" 인공지능에게 물었더니...
35. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
36. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
37. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
38. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
39. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
40. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
41. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
42. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
43. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
44. "설악산 코스 알려줘" 인공지능에게 물었더니...
45. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
46. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
47. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
48. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
49. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
50. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
51. 산불도 인공지능으로 잡아낸다…경남도, ICT 플랫폼 가동
52. 중앙대, 제7회 인공지능인문학 국제학술대회 개최
53. SK스토아, AI 기반 의류 사이즈 추천 서비스 도입
54. 인공지능 기술창업 육성 전문기관 '서울 AI 허브' 개관
55. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
56. "인공지능 인프라 깔린 광주, 이제는 사람과 교통"
57. 대웅제약-KMI, 인공지능 심전도검사 ‘모비케어·에띠아’ 본격시행
58. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
59. 경남로봇랜드재단, 순천 학생들에게 로봇·인공지능 체험 제공
60. 상주시, 인공지능 기술 결합 된 산불감시 시스템 구축 시동
61. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
62. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
63. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
64. "설악산 코스 알려줘" 인공지능에게 물었더니...
65. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
66. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
67. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
68. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
69. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
70. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
71. 산불도 인공지능으로 잡아낸다…경남도, ICT 플랫폼 가동
72. 중앙대, 제7회 인공지능인문학 국제학술대회 개최
73. SK스토아, AI 기반 의류 사이즈 추천 서비스 도입
74. 인공지능 기술창업 육성 전문기관 '서울 AI 허브' 개관
75. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
76. "인공지능 인프라 깔린 광주, 이제는 사람과 교통"
77. 대웅제약-KMI, 인공지능 심전도검사 ‘모비케어·에띠아’ 본격시행
78. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
79. 경남로봇랜드재단, 순천 학생들에게 로봇·인공지능 체험 제공
80. 상주시, 인공지능 기술 결합 된 산불감시 시스템 구축 시동
81. 'AI 서울 정상회의' 성과 글로벌에 알린다…과기정통부, ITU 행사 참가
82. KT, 스타트업에 협력 역제안 ‘리버스피칭’ 진행
83. KAIST, 英 앨런 튜링 연구소와 인공지능 연구 협약
84. "설악산 코스 알려줘" 인공지능에게 물었더니...
85. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
86. LG이노텍, "AI로 카메라모듈 불량률 최대 90% 줄였다"
87. 국내 인공지능 분야의 중심 될 ‘서울 AI허브’ 핵심시설 개관 [오늘, 특별시...
88. 노인돌봄 정책에 인공지능 적극 도입, ‘경기노인 AI+돌봄 계획’ 발표
89. 국립부산과학관, 인공지능 교육프로그램 2급 과정 개설
90. 중앙대, 제7회 인공지능인문학 국제학술대회 성료
91. 산불도 인공지능으로 잡아낸다…경남도, ICT 플랫폼 가동
92. 중앙대, 제7회 인공지능인문학 국제학술대회 개최
93. SK스토아, AI 기반 의류 사이즈 추천 서비스 도입
94. 인공지능 기술창업 육성 전문기관 '서울 AI 허브' 개관
95. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
96. "인공지능 인프라 깔린 광주, 이제는 사람과 교통"
97. 대웅제약-KMI, 인공지능 심전도검사 ‘모비케어·에띠아’ 본격시행
98. CEO 자리도 넘보는 인공지능…'AI 보스' 시대 오나
99. 경남로봇랜드재단, 순천 학생들에게 로봇·인공지능 체험 제공
100. 상주시, 인공지능 기술 결합 된 산불감시 시스템 구축 시동
